0 65.5 31 76
1 125.5 31 60
2 185.5 31 151
3 245.5 31 176
4 305.5 31 109
5 365.5 31 75
6 425.5 31 74
7 485.5 31 132
8 545.5 31 142
9 605.5 31 79
10 35.5 61 131
11 95.5 61 195
12 155.5 61 148
13 215.5 61 134
14 275.5 61 204
15 335.5 61 85
16 395.5 61 111
17 455.5 61 190
18 515.5 61 179
19 575.5 61 49
20 635.5 61 150
21 65.5 91 61
22 125.5 91 207
23 185.5 91 107
24 245.5 91 205
25 305.5 91 225
26 365.5 91 187
27 425.5 91 39
28 485.5 91 194
29 545.5 91 199
30 605.5 91 223
31 35.5 121 174
32 95.5 121 161
33 155.5 121 95
34 215.5 121 38
35 275.5 121 103
36 335.5 121 141
37 395.5 121 158
38 455.5 121 153
39 515.5 121 192
40 575.5 121 140
41 635.5 121 47
42 65.5 151 105
43 125.5 151 85
44 185.5 151 194
45 245.5 151 115
46 305.5 151 106
47 365.5 151 172
48 425.5 151 141
49 485.5 151 211
50 545.5 151 34
51 605.5 151 194
52 35.5 181 32
53 95.5 181 144
54 155.5 181 53
55 215.5 181 132
56 275.5 181 136
57 335.5 181 174
58 395.5 181 99
59 455.5 181 83
60 515.5 181 147
61 575.5 181 170
62 635.5 181 196
63 65.5 211 75
64 125.5 211 41
65 185.5 211 148
66 245.5 211 120
67 305.5 211 84
68 365.5 211 169
69 425.5 211 184
70 485.5 211 60
71 545.5 211 144
72 605.5 211 152
73 35.5 241 173
74 95.5 241 204
75 155.5 241 99
76 215.5 241 221
77 275.5 241 179
78 335.5 241 40
79 395.5 241 89
80 455.5 241 226
81 515.5 241 145
82 575.5 241 83
83 635.5 241 103
