0 1 10 12 
1 21 23 12 
2 13 3 23 
3 13 2 24 
4 5 3 16 
5 16 6 4 
6 5 27 7 
7 18 17 6 
8 7 29 9 
9 20 8 41 
10 31 21 11 
11 32 12 31 
12 23 13 22 
13 23 3 12 
14 25 3 13 
15 4 16 36 
16 6 15 37 
17 18 38 7 
18 29 8 17 
19 41 50 8 
20 30 40 8 
21 42 10 1 
22 32 12 44 
23 13 12 2 
24 25 3 13 
25 24 26 36 
26 47 36 25 
27 16 5 59 
28 17 18 38 
29 18 28 30 
30 51 20 40 
31 10 42 11 
32 53 22 11 
33 23 54 12 
34 33 54 45 
35 45 56 36 
36 46 37 26 
37 48 26 38 
38 28 37 17 
39 29 49 18 
40 29 39 60 
41 50 9 40 
42 43 63 32 
43 54 42 53 
44 65 24 22 
45 55 56 66 
46 56 36 45 
47 37 36 68 
48 37 58 47 
49 28 38 60 
50 41 19 82 
51 61 72 30 
52 42 64 21 
53 32 43 63 
54 43 33 75 
55 65 45 56 
56 45 46 55 
57 68 36 56 
58 79 59 68 
59 58 48 79 
60 81 39 49 
61 51 62 71 
62 51 61 30 
63 42 64 53 
64 63 75 43 
65 75 66 44 
66 56 45 65 
67 46 56 66 
68 47 69 58 
69 68 48 47 
70 50 81 60 
71 60 82 61 
72 61 51 71 
73 53 63 42 
74 53 65 75 
75 64 54 55 
76 65 44 55 
77 76 56 57 
78 79 58 46 
79 78 59 68 
80 49 81 68 
81 60 82 70 
82 71 81 70 
83 72 71 62 
